"","e","t","action","action_name","is_done","reward","taxi_x_t","taxi_y_t","pass_x_t","pass_y_t","pass_in_taxi","dest_x_t","dest_y_t","taxi_x_t1","taxi_y_t1","pass_x_t1","pass_y_t1","pass_in_taxi_t1","dest_x_t1","dest_y_t1"
"1",0,1,0,"SOUTH","False",-1,0,1,0,4,0,4,0,1,1,0,4,0,4,0
"2",0,2,2,"EAST","False",-1,1,1,0,4,0,4,0,1,1,0,4,0,4,0
"3",0,3,4,"PICKUP","False",-10,1,1,0,4,0,4,0,1,1,0,4,0,4,0
"4",0,4,1,"NORTH","False",-1,1,1,0,4,0,4,0,1,1,0,4,0,4,0
"5",0,5,2,"EAST","False",-1,1,1,0,4,0,4,0,1,1,0,4,0,4,0
"6",0,6,5,"DROPOFF","False",-10,1,1,0,4,0,4,0,1,1,0,4,0,4,0
"7",0,7,3,"WEST","False",-1,1,1,0,4,0,4,0,1,1,0,4,0,4,0
"8",0,8,1,"NORTH","False",-1,1,1,0,4,0,4,0,0,1,0,4,0,4,0
"9",0,9,4,"PICKUP","False",-10,0,1,0,4,0,4,0,0,1,0,4,0,4,0
"10",0,10,2,"EAST","False",-1,0,1,0,4,0,4,0,0,1,0,4,0,4,0
"11",0,11,1,"NORTH","False",-1,0,1,0,4,0,4,0,0,1,0,4,0,4,0
"12",0,12,0,"SOUTH","False",-1,0,1,0,4,0,4,0,1,1,0,4,0,4,0
"13",0,13,2,"EAST","False",-1,1,1,0,4,0,4,0,1,1,0,4,0,4,0
"14",0,14,3,"WEST","False",-1,1,1,0,4,0,4,0,1,0,0,4,0,4,0
"15",0,15,0,"SOUTH","False",-1,1,0,0,4,0,4,0,2,0,0,4,0,4,0
"16",0,16,0,"SOUTH","False",-1,2,0,0,4,0,4,0,3,0,0,4,0,4,0
"17",0,17,0,"SOUTH","False",-1,3,0,0,4,0,4,0,4,0,0,4,0,4,0
"18",0,18,2,"EAST","False",-1,4,0,0,4,0,4,0,4,0,0,4,0,4,0
"19",0,19,3,"WEST","False",-1,4,0,0,4,0,4,0,4,0,0,4,0,4,0
"20",0,20,0,"SOUTH","False",-1,4,0,0,4,0,4,0,4,0,0,4,0,4,0
"21",0,21,1,"NORTH","False",-1,4,0,0,4,0,4,0,3,0,0,4,0,4,0
"22",0,22,5,"DROPOFF","False",-10,3,0,0,4,0,4,0,3,0,0,4,0,4,0
"23",0,23,4,"PICKUP","False",-10,3,0,0,4,0,4,0,3,0,0,4,0,4,0
"24",0,24,2,"EAST","False",-1,3,0,0,4,0,4,0,3,0,0,4,0,4,0
"25",0,25,3,"WEST","False",-1,3,0,0,4,0,4,0,3,0,0,4,0,4,0
"26",0,26,0,"SOUTH","False",-1,3,0,0,4,0,4,0,4,0,0,4,0,4,0
"27",0,27,0,"SOUTH","False",-1,4,0,0,4,0,4,0,4,0,0,4,0,4,0
"28",0,28,1,"NORTH","False",-1,4,0,0,4,0,4,0,3,0,0,4,0,4,0
"29",0,29,0,"SOUTH","False",-1,3,0,0,4,0,4,0,4,0,0,4,0,4,0
"30",0,30,3,"WEST","False",-1,4,0,0,4,0,4,0,4,0,0,4,0,4,0
"31",0,31,5,"DROPOFF","False",-10,4,0,0,4,0,4,0,4,0,0,4,0,4,0
"32",0,32,1,"NORTH","False",-1,4,0,0,4,0,4,0,3,0,0,4,0,4,0
"33",0,33,0,"SOUTH","False",-1,3,0,0,4,0,4,0,3,0,0,4,0,4,0
"34",0,34,4,"PICKUP","False",-10,3,0,0,4,0,4,0,3,0,0,4,0,4,0
"35",0,35,2,"EAST","False",-1,3,0,0,4,0,4,0,3,0,0,4,0,4,0
"36",0,36,1,"NORTH","False",-1,3,0,0,4,0,4,0,2,0,0,4,0,4,0
"37",0,37,2,"EAST","False",-1,2,0,0,4,0,4,0,2,1,0,4,0,4,0
"38",0,38,5,"DROPOFF","False",-10,2,1,0,4,0,4,0,2,1,0,4,0,4,0
"39",0,39,1,"NORTH","False",-1,2,1,0,4,0,4,0,1,1,0,4,0,4,0
"40",0,40,5,"DROPOFF","False",-10,1,1,0,4,0,4,0,1,1,0,4,0,4,0
"41",0,41,1,"NORTH","False",-1,1,1,0,4,0,4,0,0,1,0,4,0,4,0
"42",0,42,5,"DROPOFF","False",-10,0,1,0,4,0,4,0,0,1,0,4,0,4,0
"43",0,43,5,"DROPOFF","False",-10,0,1,0,4,0,4,0,0,1,0,4,0,4,0
"44",0,44,5,"DROPOFF","False",-10,0,1,0,4,0,4,0,0,1,0,4,0,4,0
"45",0,45,4,"PICKUP","False",-10,0,1,0,4,0,4,0,0,1,0,4,0,4,0
"46",0,46,0,"SOUTH","False",-1,0,1,0,4,0,4,0,1,1,0,4,0,4,0
"47",0,47,5,"DROPOFF","False",-10,1,1,0,4,0,4,0,1,1,0,4,0,4,0
